run_label,packet,path_index,timestamp,current_location,current_location_ip,decision,introduced_delay,transition_delay,reason,expected_endresult,hitcount
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,0,SV0,192.0.0.5,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,3.8,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,11.399999999999999,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,15.2,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,96.224,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,100.024,SW4,192.0.0.33,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #0 [28]: 192.0.0.5 (22) -[6]-> 192.0.0.36 (22) [EPacketDecision.ACCEPT],0,103.824,C2,192.0.0.36,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,28
original,Packet #1 [119]: 192.0.0.5 (22) -[6]-> 192.0.0.37 (22) [EPacketDecision.ACCEPT],0,0,SV0,192.0.0.5,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,119
original,Packet #1 [119]: 192.0.0.5 (22) -[6]-> 192.0.0.37 (22) [EPacketDecision.ACCEPT],0,3.8,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,119
original,Packet #1 [119]: 192.0.0.5 (22) -[6]-> 192.0.0.37 (22) [EPacketDecision.ACCEPT],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,119
original,Packet #1 [119]: 192.0.0.5 (22) -[6]-> 192.0.0.37 (22) [EPacketDecision.ACCEPT],0,11.399999999999999,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,119
original,Packet #1 [119]: 192.0.0.5 (22) -[6]-> 192.0.0.37 (22) [EPacketDecision.ACCEPT],0,15.2,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,119
